date,close
2019.05.16,"41,550"
2019.05.15,"42,550"
2019.05.14,"42,650"
2019.05.13,"42,650"
2019.05.10,"42,900"
2019.05.09,"42,450"
2019.05.08,"44,250"
2019.05.07,"44,850"
2019.05.03,"45,300"
2019.05.02,"45,900"
2019.04.30,"45,850"
2019.04.29,"46,150"
2019.04.26,"44,850"
2019.04.25,"44,650"
2019.04.24,"44,750"
2019.04.23,"45,200"
2019.04.22,"45,350"
2019.04.19,"45,300"
2019.04.18,"45,600"
2019.04.17,"47,050"
2019.04.16,"47,250"
2019.04.15,"47,050"
2019.04.12,"46,850"
2019.04.11,"46,250"
2019.04.10,"46,700"
2019.04.09,"46,650"
2019.04.08,"46,650"
2019.04.05,"46,850"
2019.04.04,"46,950"
2019.04.03,"46,600"
2019.04.02,"45,750"
2019.04.01,"45,050"
2019.03.29,"44,650"
2019.03.28,"44,850"
2019.03.27,"45,350"
2019.03.26,"45,250"
2019.03.25,"45,500"
2019.03.22,"46,550"
2019.03.21,"45,850"
2019.03.20,"44,050"
2019.03.19,"43,900"
2019.03.18,"43,700"
2019.03.15,"44,200"
2019.03.14,"43,850"
2019.03.13,"43,850"
2019.03.12,"44,650"
2019.03.11,"43,650"
2019.03.08,"43,800"
2019.03.07,"44,450"
2019.03.06,"44,000"
2019.03.05,"44,250"
2019.03.04,"44,850"
2019.02.28,"45,100"
2019.02.27,"46,750"
2019.02.26,"46,750"
2019.02.25,"47,350"
2019.02.22,"47,150"
2019.02.21,"46,950"
2019.02.20,"46,900"
2019.02.19,"45,950"
2019.02.18,"46,200"
2019.02.15,"46,050"
2019.02.14,"47,500"
2019.02.13,"46,200"
2019.02.12,"46,050"
2019.02.11,"45,000"
2019.02.08,"44,800"
2019.02.07,"46,200"
2019.02.01,"46,350"
2019.01.31,"46,150"
2019.01.30,"46,400"
2019.01.29,"45,500"
2019.01.28,"45,050"
2019.01.25,"44,750"
2019.01.24,"43,050"
2019.01.23,"42,000"
2019.01.22,"42,150"
2019.01.21,"42,750"
2019.01.18,"42,300"
2019.01.17,"41,950"
2019.01.16,"41,450"
2019.01.15,"41,100"
2019.01.14,"40,050"
2019.01.11,"40,500"
2019.01.10,"39,800"
2019.01.09,"39,600"
2019.01.08,"38,100"
2019.01.07,"38,750"
2019.01.04,"37,450"
2019.01.03,"37,600"
2019.01.02,"38,750"
2018.12.28,"38,700"
2018.12.27,"38,250"
2018.12.26,"38,350"
2018.12.24,"38,800"
2018.12.21,"38,650"
2018.12.20,"38,650"
2018.12.19,"39,100"
2018.12.18,"38,900"
2018.12.17,"39,150"
2018.12.14,"38,950"
2018.12.13,"40,000"
2018.12.12,"40,450"
2018.12.11,"40,250"
2018.12.10,"40,200"
2018.12.07,"40,950"
2018.12.06,"40,500"
2018.12.05,"41,450"
2018.12.04,"42,150"
2018.12.03,"43,250"
2018.11.30,"41,850"
2018.11.29,"43,150"
2018.11.28,"43,150"
2018.11.27,"43,050"
2018.11.26,"42,600"
2018.11.23,"42,400"
2018.11.22,"42,450"
2018.11.21,"42,100"
2018.11.20,"42,800"
2018.11.19,"43,650"
2018.11.16,"44,000"
2018.11.15,"44,250"
2018.11.14,"44,100"
2018.11.13,"44,500"
2018.11.12,"45,200"
2018.11.09,"44,300"
2018.11.08,"44,050"
2018.11.07,"44,000"
2018.11.06,"43,750"
2018.11.05,"43,800"
2018.11.02,"44,150"
2018.11.01,"42,150"
2018.10.31,"42,400"
2018.10.30,"42,350"
2018.10.29,"41,400"
2018.10.26,"41,000"
2018.10.25,"41,000"
2018.10.24,"42,550"
2018.10.23,"43,050"
2018.10.22,"43,550"
2018.10.19,"43,900"
2018.10.18,"44,050"
2018.10.17,"44,150"
2018.10.16,"43,600"
2018.10.15,"43,800"
2018.10.12,"44,000"
2018.10.11,"43,100"
2018.10.10,"45,300"
2018.10.08,"44,950"
2018.10.05,"44,700"
2018.10.04,"44,700"
2018.10.02,"45,700"
2018.10.01,"46,350"
2018.09.28,"46,450"
2018.09.27,"47,500"
2018.09.21,"47,400"
2018.09.20,"47,250"
2018.09.19,"46,150"
2018.09.18,"45,500"
2018.09.17,"45,150"
2018.09.14,"45,850"
2018.09.13,"44,050"
2018.09.12,"44,550"
2018.09.11,"45,050"
2018.09.10,"45,500"
2018.09.07,"44,900"
2018.09.06,"46,100"
2018.09.05,"46,600"
2018.09.04,"47,650"
2018.09.03,"47,450"
2018.08.31,"48,450"
2018.08.30,"47,650"
2018.08.29,"46,800"
2018.08.28,"46,550"
2018.08.27,"46,300"
2018.08.24,"46,150"
2018.08.23,"46,200"
2018.08.22,"46,100"
2018.08.21,"44,800"
2018.08.20,"43,850"
2018.08.17,"44,100"
2018.08.16,"44,250"
2018.08.14,"45,150"
2018.08.13,"45,050"
2018.08.10,"45,400"
2018.08.09,"46,900"
2018.08.08,"46,800"
2018.08.07,"46,700"
2018.08.06,"45,800"
2018.08.03,"45,750"
2018.08.02,"45,550"
2018.08.01,"46,550"
2018.07.31,"46,250"
2018.07.30,"46,500"
2018.07.27,"46,900"
2018.07.26,"46,900"
2018.07.25,"46,150"
2018.07.24,"46,150"
2018.07.23,"46,500"
2018.07.20,"47,450"
2018.07.19,"46,900"
2018.07.18,"46,550"
2018.07.17,"45,850"
2018.07.16,"46,050"
2018.07.13,"46,500"
2018.07.12,"45,500"
2018.07.11,"46,000"
2018.07.10,"46,300"
2018.07.09,"45,600"
2018.07.06,"44,900"
2018.07.05,"45,950"
2018.07.04,"46,250"
2018.07.03,"46,150"
2018.07.02,"45,550"
2018.06.29,"46,650"
2018.06.28,"46,800"
2018.06.27,"47,950"
2018.06.26,"47,000"
2018.06.25,"46,650"
2018.06.22,"47,250"
2018.06.21,"47,050"
2018.06.20,"47,000"
2018.06.19,"47,000"
2018.06.18,"46,600"
2018.06.15,"47,650"
2018.06.14,"48,200"
2018.06.12,"49,400"
2018.06.11,"49,900"
2018.06.08,"49,650"
2018.06.07,"50,600"
2018.06.05,"51,300"
2018.06.04,"51,100"
2018.06.01,"51,300"
2018.05.31,"50,700"
2018.05.30,"49,500"
2018.05.29,"51,300"
2018.05.28,"52,300"
2018.05.25,"52,700"
2018.05.24,"51,400"
2018.05.23,"51,800"
2018.05.21,"50,000"
2018.05.18,"49,500"
2018.05.17,"49,400"
2018.05.16,"49,850"
2018.05.15,"49,200"
2018.05.14,"50,100"
2018.05.11,"51,300"
2018.05.10,"51,600"
2018.05.09,"50,900"
2018.05.08,"52,600"
2018.05.04,"51,900"
2018.05.03,"2,650,000"
2018.05.02,"2,650,000"
2018.04.30,"2,650,000"
2018.04.27,"2,650,000"
2018.04.26,"2,607,000"
2018.04.25,"2,520,000"
2018.04.24,"2,523,000"
2018.04.23,"2,595,000"
2018.04.20,"2,581,000"
2018.04.19,"2,639,000"
2018.04.18,"2,568,000"
2018.04.17,"2,499,000"
2018.04.16,"2,517,000"
2018.04.13,"2,490,000"
2018.04.12,"2,450,000"
2018.04.11,"2,443,000"
2018.04.10,"2,444,000"
2018.04.09,"2,460,000"
2018.04.06,"2,420,000"
2018.04.05,"2,437,000"
2018.04.04,"2,346,000"
2018.04.03,"2,406,000"
2018.04.02,"2,427,000"
2018.03.30,"2,461,000"
2018.03.29,"2,452,000"
2018.03.28,"2,435,000"
2018.03.27,"2,499,000"
2018.03.26,"2,514,000"
2018.03.23,"2,486,000"
2018.03.22,"2,589,000"
2018.03.21,"2,553,000"
2018.03.20,"2,560,000"
2018.03.19,"2,537,000"
2018.03.16,"2,557,000"
2018.03.15,"2,577,000"
2018.03.14,"2,588,000"
2018.03.13,"2,583,000"
2018.03.12,"2,487,000"
2018.03.09,"2,487,000"
2018.03.08,"2,460,000"
2018.03.07,"2,431,000"
2018.03.06,"2,351,000"
2018.03.05,"2,260,000"
2018.03.02,"2,301,000"
2018.02.28,"2,353,000"
2018.02.27,"2,369,000"
2018.02.26,"2,369,000"
2018.02.23,"2,361,000"
2018.02.22,"2,338,000"
2018.02.21,"2,364,000"
2018.02.20,"2,370,000"
2018.02.19,"2,419,000"
2018.02.14,"2,450,000"
2018.02.13,"2,377,000"
2018.02.12,"2,286,000"
2018.02.09,"2,235,000"
2018.02.08,"2,300,000"
2018.02.07,"2,290,000"
2018.02.06,"2,371,000"
2018.02.05,"2,396,000"
2018.02.02,"2,385,000"
2018.02.01,"2,491,000"
2018.01.31,"2,495,000"
2018.01.30,"2,490,000"
2018.01.29,"2,561,000"
2018.01.26,"2,539,000"
2018.01.25,"2,513,000"
2018.01.24,"2,467,000"
2018.01.23,"2,458,000"
2018.01.22,"2,412,000"
2018.01.19,"2,466,000"
2018.01.18,"2,495,000"
